"Dist Code","Year","State Code","State Name","Dist Name","RICE IRRIGATED AREA (1000 ha)","WHEAT IRRIGATED AREA (1000 ha)","KHARIF SORGHUM IRRIGATED AREA (1000 ha)","RABI SORGHUM IRRIGATED AREA (1000 ha)","SORGHUM IRRIGATED AREA (1000 ha)","PEARL MILLET IRRIGATED AREA (1000 ha)","MAIZE IRRIGATED AREA (1000 ha)","FINGER MILLET IRRIGATED AREA (1000 ha)","BARLEY IRRIGATED AREA (1000 ha)","CHICKPEA IRRIGATED AREA (1000 ha)","PIGEONPEA IRRIGATED AREA (1000 ha)","MINOR PULSES IRRIGATED AREA (1000 ha)","PULSES IRRIGATED AREA (1000 ha)","GROUNDNUT IRRIGATED AREA (1000 ha)","SESAMUM IRRIGATED AREA (1000 ha)","LINSEED IRRIGATED AREA (1000 ha)","SUGARCANE IRRIGATED AREA (1000 ha)","COTTON IRRIGATED AREA (1000 ha)","FRUITS AND VEGETABLES IRRIGATED AREA (1000 ha)","FODDER IRRIGATED AREA (1000 ha)"
"1","1966","14","Chhattisgarh","Durg","73.3","0.5","0.0","0.0","0.0","0.0","0.05","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1","0.0","2.0","0.0"
"1","1967","14","Chhattisgarh","Durg","100.7","0.6","0.0","0.0","0.0","0.0","0.05","0.0","0.0","0.0","0.0","0.1","0.1","0.0","0.0","0.0","0.1","0.0","2.2","0.01"
"1","1968","14","Chhattisgarh","Durg","124.6","0.9","0.0","0.0","0.0","0.0","0.01","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1","0.0","2.4","0.0"
"1","1969","14","Chhattisgarh","Durg","130.8","0.8","0.0","0.0","0.0","0.0","0.01","0.0","0.0","0.0","0.0","0.1","0.1","0.0","0.0","0.0","0.1","0.0","2.2","0.0"
"1","1970","14","Chhattisgarh","Durg","131.3","1.0","0.0","0.0","0.0","0.0","0.01","0.0","0.0","0.0","0.0","0.1","0.1","0.0","0.0","0.0","0.1","0.0","2.3","0.01"
"1","1971","14","Chhattisgarh","Durg","141.4","1.4","0.0","0.0","0.0","0.0","0.01","0.0","0.0","0.1","0.0","0.1","0.2","0.0","0.0","0.0","0.0","0.0","2.3","0.01"
"1","1972","14","Chhattisgarh","Durg","133.7","1.7","0.0","0.0","0.0","0.0","0.02","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1","0.0","2.3","0.0"
"1","1973","14","Chhattisgarh","Durg","147.0","2.8","0.0","0.0","0.0","0.0","0.02","0.0","0.0","0.0","0.0","0.1","0.1","0.0","0.0","0.0","0.1","0.0","2.2","0.02"
"1","1974","14","Chhattisgarh","Durg","89.7","3.8","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1","0.1","0.0","0.0","0.0","0.0","0.0","2.1","0.01"
"1","1975","14","Chhattisgarh","Durg","130.2","6.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1","0.1","0.0","0.0","0.0","0.0","0.0","2.3","0.02"
